AttributeID,AttributeName,Typ,Owner,Owner2,SingleInstance,MustExist,Hidden,Format,PositionX,PositionY,Visible,Color,Ratio,Size,Direction,Level,DefaultValue,ASSIGNED_LIST,UNIQUE_VALUE,Flags2,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48,USAGE_DESCRIPTION
2,.ACTIVE_COMPOSITE,4,8160,0,-1,0,0,VALUE,0.0,-40.0,1,0,1,20.0,1,1,,,,0,当前匹配连接器,tegenstuk,Active mating connector,Contre-pièce,Aktives Gegenstück,Controparte attiva,アクティブな嵌合コネクタ,Contra-peça,Ответная часть,Pieza complementaria,Aktif eş konnektör,,
4,.ACTIVE_CONNPART,4,8160,0,-1,0,0,VALUE,0.0,-40.0,1,0,1,20.0,1,1,,,,0,当前匹配的针脚插件,aktief cavity part,Active cavity part,Pièce de cavité active,Aktives Kammermaterial,Parte per cavità attiva,アクティブなキャビティパート,,Текущий наконечник/уплотнитель,Pieza de cavidad activa,Aktif boşluk parçası,Aktywna grupa pinów i uszczelek,
6,.ALT_COMPCODE,4,16416,,-1,0,0,DEFAULT,0.0,-40.0,0,0,1,25.0,1,1,,,,,可选元件代码,alternative toestelnaam,Alternative component code,Nom de composant alternatif,Alternativer Bauteilname,Codice componente alternativo,代替コンポーネントコード,Código alternativo de componente,Альтернативный код изделия,Código de componente alternativo,Alternatif bileşen kodu,Alternatywny kod komponentu,
0,.ARRANGEMENT_SYMBOL,4,4194304,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,1,0,触点布置符号,kontakt arrangement symbool,Contact arrangement symbol,Symbole de disposition des contacts,Kontaktspiegel Symbol,Simbolo tabella contatti,コンタクトアレンジシンボル,Símbolo de arranjo de contatos,Символ упорядочения контактов,Símbolo de organización de contactos,İletişim düzenleme sembolü,Symbol aranżacji styków,
0,.ASSIGNED_END_BRACKET,4,32,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,指定的终端固定件,Toegewezen eindklem,Assigned end bracket,Attache d'extrémité assignée,Zugewiesene Endklammer,Blocchetto terminale assegnato,割り当てられたエンドブラケット,,Назначенный концевой стопор,Soporte final asignado,Atanmış uç dirseği,Przypisana blokada końcowa,
0,.ASSIGNED_END_COVER,4,32,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,指定的端盖,Toegewezen eindafsluiting,Assigned end cover,Plaque d'extrémité assignée,Zugewiesene Endplatte,Piastra terminale assegnata,割り当てられた終端カバー,,Назначенная концевая пластина,Cubierta final asignada,Atanmış uç kapağı,Przypisana ścianka końcowa,
0,.ASSIGNED_SEPARATION_PLATE,4,32,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,指定的隔片,Toegewezen tussenplaat,Assigned separating plate,Plaque de séparation assignée,Zugewiesene Trennplatte,Piastra di separazione assegnata,割り当てられた分離プレート,,Назначенная разделительная пластина,Placa de separación asignada,Atanmış ayırma plakası,Przepisana płytka separacyjna,
,.ATTACHED_SYMBOL,4,4194305,,0,0,0,,,,0,0,,,,,,,,,附属符号,bijgevoegd symbool,Attached symbol,Symbol assigné,Zugeordnetes Symbol,Simbolo assegnato,添付シンボル,Símbolo anexado,Присоединенный символ,Símbolo adjunto,Ekli sembol,Przylączony symbol,
0,.BACKPLANE_WIRE,3,134217728,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,背板布线 (网格),backplane bedrading,Backplane wiring (grid),Câblage de fond de panier (grille),Rückwandverdrahtung (Raster),Connessione backplane (griglia),バックプレーン配線(グリッド),Fiação Backplane (grade),Монтаж соединительной платой,Cableado de la Pletina (reijlla),Arkaplan kablo (ızgara),Okablowanie za płytą montażową (siatka),
0,.BLOCK_PIN_SYMBOL,4,1088,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,背板布线 (网格) (1),symbool voor blok stekker,Symbol for block connector,Symbole pour connecteur-bloc,Symbol für Blockstecker,Simbolo per connettore di blocco,ブロックコネクタ用シンボル,Símbolo para Conector de Bloco,Символ для соединителя блока,Símbolo para conector de bloque,Sembol için blok konnektör,Symbol dla złącza bloku,
,.BRIDGE,1,1971542,0,-1,0,0,VALUE,0.0,-40.0,1,0,1,20.0,1,1,,,,0,模块连接器符号,klemmenbrug,Jumper for terminal,Pont pour borne,Klemmenbrücke,Ponte per morsetto,ターミナル用ジャンパー,Ponte para borne,Перемычка для клеммы,Puente para borne,Terminal için jumper,Mostek dla złączek,
80,.CABLE_DUCT_LENGTH,3,2080,0,-1,0,0,DEFAULT,0.0,-40.0,1,0,1,125.0,1,1,,,,0,电缆通道长度,lengte van de kabelgoot,Length of cable duct,Longueur du caniveau de câble,Länge des Kabelkanals,Lunghezza canalina cavi,ケーブルダクト長,Comprimento da eletrocalha,Длина кабель-канала,Longitud conducto de manguera,Kablo kanalı uzunluğu,Długość korytka kablowego,
11,.CABLENAME,4,2,0,-1,0,0,VALUE,0.0,-40.0,1,0,1,20.0,1,12,,,,0,电缆设备代号,kabelnaam,Cable Device designation,Nom de câble,Kabelname,Designazione cavo,ケーブルデバイス識別名,Designação de Dispositivo do Cabo,Кабель - Позиционное обозначение,Nombre dispositivo de manguera,Kablo aygıtı atama,Oznaczenie kabla,
0,.CABLESHAPE,4,393222,340,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Cable Shape,Kabelvorm,Cable Shape,Forme de câble,Kabelform,Forma cavo,Cable Shape,Forma do cabo,Форма кабеля,Contorno de manguera,Kablo Şekli,Kształt kabla,
12,.CABLETYPE,4,2,0,-1,0,0,VALUE,0.0,-40.0,1,0,1,20.0,1,5,,,,0,电缆元件代码,kabeltype,Cable Component code,Type de câble,Kabeltyp,Componente cavo,ケーブルコンポーネントコード,Código de Componente do Cabo,Кабель - Условное обозначение,Código de componente de manguera,Kablo bileşen kodu,Kod komponentu kabla,
0,.CALC_PARAM_AMBIENT_TEMP,2,6,0,-1,0,0,## °C,0.0,-40.0,1,1,1,25.0,1,1,,,,0,环境温度(摄氏度),buitentemperatuur [graden Celsius],Ambient temperature [degrees C],Température extérieure [degrés C],Umgebungstemperatur [Grad C],Temperatura ambiente [C°],周辺温度 [℃],Temperatura Ambiente [Graus Celsius],Наружная температура [градусы Цельсия],Temperatura ambiente [grados C],Ortam sıcaklığı [derece C],Temperatura otoczenia [stopnie C],
0,.CALC_PARAM_CURRENT,2,32,0,-1,0,0,#.### A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,电流[A],stroom [A],Current [A],Courant [A],Stromwert [A],Corrente [A],電流 [A],Corrente [A],Ток [A],Corriente [A],Akım [A],Prąd [A],
0,.CALC_PARAM_CURRENT_SWITCH_EXPRESSION,4,1140850688,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Current switch expression（当前开关标记）,actueel wisselstand,Current switch expression,État actuel du commutateur ,Aktuelle Schalterstellung,Posizione interruttore,現在のスイッチ表記,Expressão de troca atual,Текущее выражение переключателя,Expresión de cambio de corriente,Güncel anahtar ifadesi,Przełączanie prądu,
0,.CALC_PARAM_FUSE_SIZE,2,2080,0,-1,0,0,# A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,熔线额定(电流)值[A],zekeringswaarde [A],Fuse rating [A],calibre de fusible [A],Leitungsschutzeinrichtungsgröße  [A],Portata fusibile [A],フューズ定格 [A],Categoria do Fusível [A],Номинал плавкого предохранителя [A],Clasificación de fusible [A],Sigorta Değeri [A],Obciążalność bezpiecznika [A],
0,.CALC_PARAM_LOAD_FACTOR,2,2080,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,负载系数,belastingsfaktor,Load factor,Facteur de charge,Belastungsfaktor,Fattore di carico,負荷要因,Fator de carga [A],Коэффициент нагрузки,Factor de carga,Yük Faktörü,Współczynnik obciążenia,
0,.CALC_PARAM_NOMINAL_TEMP,2,16384,2,-1,0,0,## °C,0.0,-40.0,1,1,1,25.0,1,1,,,,0,额定温度(摄氏度),nominale temperatuur [Grad Celsius],Nominal temperature [degrees C],Température prescrite [degrés C],Referenztemperatur [Grad C],Temperatura nominale [Gradi centigradi],公称温度 [℃],Temperatura Nominal [Graus Celsius],Номинальная температура [градусы Цельсия],Temperatura nominal [grados C],Nominal sıcaklık [derece C],Nominalna temperatura [stopnie C],
0,.CALC_PARAM_OVER_CURRENT_RATIO,2,2080,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,过载电流率,stroompiek,Over current ratio,Rapport surintensité,Überstromfaktor,rapporto di sovvracorrente,過電流率,Relação de sobre-corrente,Кратность перегрузки,Ratio de sobrecarga,Geçerli oranın üzerinde,Współczynnik prądu przetężeniowego,
0,.CALC_PARAM_PERMISSION_CURRENT,2,5440,0,-1,0,0,#.### A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Permission current（容许电流） [A],toegelaten stroom [A],Permission current [A],calculé : courant autorisé,Strombelastung [A],Corrente di carico [A],許容電流[A],Corrente Permitida [A],Допустимый ток [А],Corriente permitida [A],İzin verilen akım [A],Pobór prądu [A],
0,.CALC_PARAM_PIN_PROTECTION,5,5440,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,针脚保护,pin protectie,Pin protection,Protection de broche,Anschlusspunktschutz,Protezione pin,保護端子,Proteção do Pino,Защита вывода,Protección de pin,Pin koruması,Ochrona pinu,
0,.CALC_PARAM_POWER_GROUND,5,5440,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Ground,Ground,Ground,Ground,Masse,Massa,Ground,Ground,Ground,Ground,Ground,Uziemienie,
0,.CALC_PARAM_RESISTANCE,2,1140855104,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Resistance （电阻） [Ohm],Weerstand (C) [Ohm],Resistance (for Calculation) [Ohm],Résistance (C) [Ohm],Widerstand (C) [Ohm],Resistenza (C) [Ohm],抵抗(C) [Ω],Resistência (C) [Ohm],Сопротивление (C) [Ом],Resistencia (C) [Ohm],Direnç (C) [Ohm],Rezystancja (dla obliczeń) [Ohm],
0,.CALC_PARAM_VALID_SWITCH_EXPRESSION,4,1140850688,0,0,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,1,0,Valid switch expression（有效开关标记）,geldig wisselstand,Valid switch expression,Position valide de l'interrupteur,Gültige Schalterstellung,Posizione valida interruttore,有効なスイッチ表記,Expressão de troca válida,Действующее выражение переключателя,Expresión de cambio válida,Geçerli anahtar ifadesi,Poprawne przedstawienie styków,
0,.CALC_PARAM_VOLTAGE,2,5440,0,-1,0,0,#.### V,0.0,-40.0,1,1,1,25.0,1,1,,,,0,电源电压[V],voedingsspanning,Voltage supply [V],Tension d'alimentation,Spannungsversorgung [V],Tensione di alimentazione [V],供給電圧 [V],Voltagem da Fonte [V],Напряжение питания [V],Suministro de voltaje [V],Kaynak Gerilimi [V],Napięcie zasilania [V],
0,.CALC_PARAM_VOLTAGE_MAX,2,5440,0,-1,0,0,#.### V,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最大电压值 [V],max. voedingsspanning [V],Maximum voltage value [V],Valeur maximale de tension [V],Max. Spannungswert [V],Valore massimo tensione [V],最高電圧値 [V],Valor Máximo de voltagem [V],Максимальное напряжение [V],Valor máximo de voltaje [V],Maksimum voltaj değeri [V],Maksymalna wartość napięcia [V],
0,.CALC_PARAM_VOLTAGE_MIN,2,5440,0,-1,0,0,#.### V,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最小电压值 [V],min. voedingsspanning [V],Minimum voltage value [V],Valeur minimale de tension [V],Min. Spannungswert [V],Valore minimo tensione [V],最低電圧値 [V],Valor Mínimo de voltagem [V],Минимальное напряжение [V],Valor mínimo de voltaje [V],Minimum voltaj değeri [V],Minimalna wartość napięcia [V],
0,.CALC_PARAM_WIRE_KIND_ID,1,262148,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,导线类别,draad type,Wire kind,Type de fil,Drahtmaterial,Materiale filo,ワイヤ種別,Tipo de Fio,Марка провода,Tipo de hilo,Tel türü,Rodzaj przewodu,
0,.CALC_RESULT_ACTUAL_RESISTANCE,2,4,0,-1,0,0,#.##### Ω,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Actual resistance（实效电阻 [Ohm]）,actueel weerstand [Ohm],Actual resistance [Ohm],Résistance  actuel [Ohm],Aktueller Widerstand [Ohm],Resistenza attuale [Ohm],実抵抗[Ω],Resistência atual [Ohm],Фактическое сопротивление [Ом],Resistencia actual [Ohm],Gerçek direnç [Ohm],Aktualna rezystancja [Ohm],
0,.CALC_RESULT_CONDUCTOR_TEMP,2,4,0,-1,0,0,## °C,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：导线,berekend: ader,Calculated: Conductor temperature [degrees C],Calculé : température de brin [degrés C],Berechnet: Adertemperatur [Grad C],Calcolato: Conduttore,算出: 導体温度 [℃],Calculado: Temperatura do condutor [Graus Celsius],Рассчитано: Температура проводника [градусы Цельсия],Calculado: Vena [grados C],Hesaplandı: İletken sıcaklığı [degree C],Wyliczony/a: Temperatura żyły [stopnie C],
0,.CALC_RESULT_CURRENT,2,5440,0,-1,0,0,#.### A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：电流[A],berekend: stroom [A],Calculated: Current [A],Calculé : courant [A],Berechnet: Stromwert [A],Calcolato: Corrente [A],算出: 電流 [A],Calculado: Corrente [A],Рассчитано: Ток [A],Calculado: Corriente [A],Hesaplandı: Akım [A],Wyliczony/a: Prąd [A],
