ID,LetterCode,ValueRange,Class,Klasse,Classe,Clase,Eeann
3,A,AJ,IC amplifier,IC-Verstärker,Amplificatori a circuiti integrati,Amplificador IC,
4,A,AM,magnetic amplifier,Magnetverstärker,Amplificatori magnetici,Amplificador magnético,
8,A,AV,tube amplifier,Einschubgestell,Guida,Tubo amplificador,
5,A,AP,printed circuit board,Röhrenverstärker,Amplificatore a valvole,Placa de circuito impreso,
7,A,AT,drawer unit,Einschub,Guida,Caja única,
6,A,AR,drawer unit rack,Leiterplatte,Circuito stampato,Grupo de cajas,
9,B, ,transducers from non-electrical to electrical quantity or vice versa,Umsetzer von nicht elektrischen auf elektrische Größenoder umgekehrt,Trasformazione di dimensioni non elettriche in elettriche,Sensores de intensidad no eléctrica a intensidad eléctrica o viceversa,
10,B,B,"photoelectricelement, dynamometer, piezoelectric pick up, microphone, audio pick up,loudspeaker, synchro generator","Photoelektrische ZelleDynamometer, Kristallwandler,Mikrofon, Tonabnehmer,Lautsprecher, Drehmelder",Cella fotovoltaica,"Elemento fotoeléctrico, dinamómetro, analizador piezoeléctrico, micrófono, lector electromagnético del sonido, altavoz, sincrogenerador",
11,B,BP,pressure sensor,Druckgeber,Sensori di pressione,Sensor de presión,
12,B,BQ,"locator,position encoder",Positionsgeber/Weggeber,Encoder di posizione,"Indicador, codificador de posición",
13,B,BR,tacho generator,Drehzahlgeber,Generatore tachimetrico,Tacogenerador,
14,B,BT,temperaturesensor,Temperaturgeber,Sensore di temperatura,Sensor de temperatura,
15,B,BV,velocitypick up,Geschwindigkeitsgeber,Misuratore di velocità,Lector de velocidad,
16,C, ,capacitors,Kondensatoren,Condensatori,Condensadores,
20,E,E,items /devices which are not listed otherwise,"Einrichtungen/Geräte, die an anderer Stelle dieserTabelle nicht aufgeführt sind.",Elementi non codificati,Asuntos/Dispositivos que no estan listados,
23,E,EV,fan,Lüfter,Ventilatore,Ventilador,
25,F,F,"over voltage discharge device, surge voltage protector","Überspannungsentladevorrichtung, Überspannungsableiter",Dispositivo di scarica per sovvratensioni,"Dispositivo de descarga para sobretensión, protector para sobrevoltaje",
26,F,FA,"overcurrent protective device, instantaneous","Überstromschutzeinrichtung, unverzögert","Dispositivo di protezione di sovvracorrente, non ritardato","Dispositivo de protección para sobrecorriente, instantaneo",
27,F,FR,"overcurrent protective device, time delayed","Überstromschutzeinrichtung, zeitverzögert","Dispositivo di protezione di sovvracorrente, ritardato","Dispositivo de protección para sobrecorriente, con retardo",
28,F,FS,"overcurrent protective device, instantaneous and time delayed characteristic",Überstromschutzeinrichtung mit unverzögerter und zeitverzögerter Wirkung,"Dispositivo di protezione di sovvracorrente, ritardato e non ritardato","Dispositivo de protección para sobrecorriente, instantaneo y de acción retardada",
31,G, ,"generators, power supplies","Generatoren, Stromversorgungen","Generatori, alimentazioni","Generadores, fuentes de alimentación",
32,G,G,"rotatinggenerators, (quartz)oscillator","rotierendeGeneratoren, (Quarz)oscillator",Generatori rotativi,"Generadores rotativos, oscilador de cuarzo",
33,G,GB,battery,Batterie,Batteria,Batería,
34,G,GF,rotatingor static frequency converter,rotierender oder statischer Frequenzwandler,Convertitori di frequenza statici o rotativi,Convertidor de frecuencia rotativo estático,
35,G,GS,powersupply unit,Stromversorgungseinrichtung,Dispositivi di alimentazione,Fuente de alimentación,
36,H, ,signalling devices,Meldeeinrichtungen,Dispositivi di segnalazione,Dispositivos de señalización,
37,H,HA,audible signal device,Akustisches Meldegerät,Dispositivi di segnalazione acustici,Dispositivo de señal acústica,
38,H,HL,"opticalsignal device, indicator light","Optisches Meldegerät, Leuchtmelder",Dispositivi di segnalazione luminosa,"Dispositivo de señal óptica, luz indicadora",
39,K, ,"relay,contactors","Relais,Schütze","Relè, contattori","Relé, contactores",
40,K,KA,"instantaneousall-or-nothing relay, instantaneous contactor relay",unverzögertes Schaltrelais oder unverzögertes Hilfsschütz,Relè non ritardato o contattore ausiliario non ritardato,"Relé extrarrápido ""todo o nada"", contactor relé instantáneo",
41,K,KL,bistablecontactor relay with mechanical latching or permanent magnet etc.,bistabiles Hilfsschütz mit mechanischer Verklinkung oderPermanentmagnet usw.,Contattore ausiliario bistabile con connessione meccanica o magnete permanente,"Contactor relé biestable con cerrado mecánico, o imán permanente",
42,K,KM,contactor,Schütz,Contattore,Contactor,
43,K,KP,polarizedrelay,polarisiertesRelais,Relè polarizzato,Relé polarizado,
44,K,KR,reedrelay,Reed-Relais,Relè Reed,Relé mecánico,
45,K,KT,time-delayrelay,Zeitrelais,Relè temporizzato,Relé de acción retardada,
46,L, ,"inductors,reactors",Induktivitäten,Induttanze,"Reactores, inductores",
17,D, ,"binaryelements, delay devices, storage devices","Binäre Elemente, Verzögerungseinrichtungen,Speichereinrichtungen",Elementi binari,"Elementos binarios, dispositivos de retardo, dispositivos de almacenamiento",
18,D,D,"digitalintegrated circuits and devices:delayline,bistableelement,monostableelement,register,magnetic core,magnetictape recorder or disk storage","Integrierte digitale Schaltkreise und Geräte:Verzögerungsleitung,bistabiles Element,monostabiles Element,Register, Kernspeicher,Magnetbandgerät oder Plattenspeicher",Circuiti integrati digitali,"Circuitos y dispositivos digitales integrados: línea de retardo, elemento biestable, elemento monoestable, registrador, núcleo magnético, grabador en cinta magnética o almacenamiento en disco",
19,E, ,miscellaneous,Verschiedenes,Varie,Varios,
21,E,EH,heating device,Heizeinrichtung,Dispositivi riscaldanti,Dispositivo de calefacción,
22,E,EL,lighting device,Beleuchtungseinrichtung,Dispositivi di illuminazione,Dispostivo de luz,
24,F, ,protective devices,Schutzeinrichtungen,Dispositivi di protezione,Dispositivos de protección,
29,F,FU,fuse,Sicherung,Fusibili,Fusible,
30,F,FV,voltagemonitor,Spannungswächter,Supervisione tensione,Monitor de voltaje,
100,Z,Z,"terminations, hybrid transformers, filters, equalizers, limiters","Abschlüsse, Gabelübertrager, Filter, Entzerrer, Begrenzer","Terminatori, filtri, limitatori, ecc.","Terminaciones, transformadores híbridos, filtros, ecualizadores, limitadores",
47,L,L,"inductioncoil, wave trap, reactor (shunt or series winding)","Induktionsspule, Wellensperre, Drosselspule (Nebenschlußoder Reihenschluß)",Induttanze,"Bobina inducción,captador de ondas,reactor (derivador o secuenciador bobinado)",
48,M,M,motors,Motoren,Motori,Motores,
49,N,N,analogueelements,AnalogeElemente,Dispsositivi analogici,Elementos análogos,
50,P, ,"measuring equipment, testing equipment","Meßgeräte, Prüfeinrichtungen",Strumenti di misura,"Equipo de medición, equipo de testeo",
51,P,P,"displaying,writing and counting measuring equipment; signal generator","anzeigende, schreibende und zählende Meßeinrichtungen ;Signalgenerator","Generatore di segnale, strumenti di misura con unità di scrittura o visualizzazione","Equipo de medición, escritura y muestra, generador de señales",
52,P,PA,ammeter,Amperemeter / Strommesser,Amperometro,Amperímetro,
53,P,PC,pulsecounter,Impulszähler,Conta impulsi,Contador de impulsos,
54,P,PJ,watthour meter,Wattstundenzähler,Wattora metro,Vatímetro (por horas),
55,P,PS,recording instrument,schreibendes Meßgerät,Strumento di misura con unità di stampa,Instrumento de grabación,
56,P,PT,"clock,elapsed-hour meter","Uhr, Betriebsstundenzähler","Orologio, conta ore","Reloj, medidor de horas transcurridas",
57,P,PV,voltmeter,Voltmeter / Spannungsmesser,Voltmetro / misuratore di tensione,Voltímetro,
58,Q, ,switchingdevices for power circuits,Starkstrom-Schaltgeräte,unità di comando per alte correnti,Dispositivo de conmutación para circuitos de potencia,
59,Q,QF,circuit breaker,Leistungsschalter,Interruttore automatico,Interruptor automático,
71,S,SL,detecting element,Meßfühler (einstufige Digitalfühler) für mechanische undeletronische Erfassung: Flüssigkeits-Füllstandsfühler),Sensore,Elemento detector,
72,S,SP,pressure sensor,Druckfühler,Sensore di pressione,Sensor de presión,
73,S,SQ,"positionsensor, displacement sensor, proximity switch",Wegfühler (Positionsschalter) einschl. Näherungsschalter,Encoder di posizione,"Sensor de posición, sensor de desplazamiento, sensor de proximidad",
77,T,TA,current transformer,Stromwandler,Trasformatore di corrente,Transformador de corriente,
78,T,TC,control power transformer,Steuertransformator,Trasformatore di comendo,Transformador potencia-control,
79,T,TM,power transformer,Leistungstransformator,Trasformatore di potenza,Transformador de potencia,
80,T,TS,magnetic voltage stabilizer,magnetischer Spannungskonstanthalter,Stabilizzatore di tensione magnetico,Estabilizador magnético de voltaje,
81,T,TV,voltage transformer,Spannungswandler,Trasformatore di tensione,Transformador de voltaje,
82,U,U,"modulators, changers","Modulatoren, Umsetzer von elektrischen in andereelektrische Größen","Modulatori, convertitori","Moduladores, conmutadores",
83,V, ,"tubes,semiconductors","Röhren, Halbleiter","Tubi, semiconduttori","Tubos, semiconductores",
84,V,V,"electron-beam tube, gaseous discharge tube, diode,transistor, thyristor","Elektronenröhre, Gasentladungsröhre, Diode, Transistor,Thyristor","Tubo a raggi, didodi, transistor","Tubo de haz de electrones, tubo de descarga gaseosa, diodo, transistor, tiristor",
85,V,VC,rectifier for control circuits,Gleichrichter für Steuerstromkreise,Raddrizzatori per circuito di comando,Rectificador de circuitos de maniobra,
86,W,W,"transmission paths, waveguides, aerials","Übertragungswege, Hohlleiter, Antennen","Linee di trasmissione, antenne","Rutas de transmisión, guiaondas, antenas aéreas",
87,X, ,"terminals, plugs, sockets","Klemmen, Stecker, Steckdosen","Morsetti, spine, prese","Bornes, enchufes, tomas para enchufe",
88,X,XB,disconnecting link,Trennlasche (Brücke),disconnecting link,Desconexión acoplamiento,
89,X,XJ,test socket,Trennlasche (Brücke),test socket,Toma enchufe para test,
90,X,XP,plug,Stecker,Spina,Enchufe,
